pid,name,yob,team,iscurrent
10638,KV Sasikanth,1998,Andhra,1
10640,Bikash Chetri,1998,Assam,1
10642,Fabid Ahmed,1998,Kerala,1
10644,Deependra Pandey,1998,Uttar Pradesh,1
10645,Pulkit Narang,1998,Services,1
10647,Nathu Singh,1998,Rajasthan,1
10649,Mohit Ahlawat,1998,Services,1
10650,Hitesh Kadam,1998,Railways,1
10651,Ashish Singh,1998,Railways,1
10652,Faiz Ahmed,1998,Railways,1
10653,Varun Khanna,1998,Punjab,1
10654,Deepak Bansal,1998,Punjab,1
10655,Pargat Singh,1998,Punjab,1
10657,Hitesh Solanki,1998,Services,1
10659,Rohit Sharma,1998,Jammu and Kashmir,1
10662,Vandit Jivrajani,1998,Saurashtra,1
10664,Amit Pachhara,1998,Services,1
10665,Diwesh Pathania,1998,Services,1
10666,Raushan Raj,1998,Services,1
10667,Poonam Poonia,1998,Services,1
10668,Ravi Chauhan,1998,Services,1
10669,Sufiyan Alam,1998,Services,1
10671,Rahul Dagar,1998,Haryana,1
10672,Chaitanya Bishnoi,1998,Haryana,1
10673,Sanjay Pahal,1998,Haryana,1
10674,Jagatheesan Kousik,1998,Tamil Nadu,1
10680,Pankaj Shaw,1998,Bengal,1
10682,Rohit Dahiya,1998,Gujarat,1
10684,Shresth Nirmohi,1998,Himachal Pradesh,1
10744,Rishabh Pant,1998,Delhi,1
10753,Suboth Bhati,1998,Delhi,1
10754,Mukesh Kumar,1998,Bengal,1
10755,Rohit Parmod Sharma,1998,Haryana,1
10756,Pramod Chandila,1998,Bengal,1
10761,Danny Dereck Prince,1998,Hyderabad,1
10785,Ranjit Singh,1998,Odisha,1
10786,Sayan Ghosh,1998,Bengal,1
10787,Rahul Hazarika,1998,Assam,1
10788,Koripalli Sreekanth,1998,Andhra,1
10802,Siddharth Dobal,1998,Rajasthan,1
10805,Akshat Pandey,1998,Railways,1
10806,Jay Gokul Bista,1998,Mumbai,1
10808,Mohammed Siraj,1998,Hyderabad,1
10809,Mohammed Azharuddeen,1998,Kerala,1
10836,Pranav Gupta,1998,Jammu and Kashmir,1
10837,Umar Nissar,1998,Jammu and Kashmir,1
10839,Samarth Vyas,1998,Saurashtra,1
10840,Mohit Hooda,1998,Haryana,1
10842,Sonu Singh,1998,Jharkhand,1
10844,Manender Narender Singh,1998,Rajasthan,1
10847,Shamshuzama Kazi,1998,Maharashtra,1
10855,Vishant More,1998,Maharashtra,1
10856,Wasiqur Rahman,1998,Assam,1
10866,Jaskaran Singh,1998,Jharkhand,1
10875,Aamir Ashraf Sofi,1998,Jammu and Kashmir,1
10880,Pradipta Pramanik,1998,Bengal,1
10883,Ganesh Kumar,1998,Andhra,1
10884,Sirla Srinivas,1998,Andhra,1
10885,Akshay Karnewar,1998,Vidarbha,1
10886,Jogeswar Bhumij,1998,Assam,1
10887,Rajneesh Gurbani,1998,Vidarbha,1
10888,Akshay Wadkar,1998,Vidarbha,1
10889,Dixit Patel,1998,Baroda,1
10890,Mrunal Devdhar,1998,Railways,1
10891,Shubham Chaubey,1998,Uttar Pradesh,1
10892,Saurabh Dubey,1998,Uttar Pradesh,1
10893,Samarth Singh,1998,Uttar Pradesh,1
10894,Ganeshraj Dayanand Narvekar,1998,Goa,1
10895,Lakshay Garg,1998,Goa,1
10896,Rinku Singh,1998,Uttar Pradesh,1
10897,Mohammad Javed,1998,Uttar Pradesh,1
10898,Guntashveer Singh,1998,Haryana,1
10899,Shamsher Yadav,1998,Haryana,1
